k3_cluster,count,OT_mean,OT_std,temp_mean,temp_std,should_close_ratio
0,3588,1253.5847491638797,919.0205302422007,-13.505599219620958,4.182715473135894,0.4060758082497213
1,1917,829.5643766301511,756.2307087112384,-11.097376108502868,3.8789876580719906,0.6264997391757955
2,2842,632.2493701618579,719.2215188341916,-11.486579873328644,4.297241068552724,0.7533427163969036
