label_idx,OT_true,exog_temp,emb_cluster,should_close_true,should_close_pred
33412,19.29,-10.74,0,1,1
39940,694.36,-12.51,0,1,1
39941,597.96,-12.49,0,1,1
39942,611.22,-12.42,0,1,1
39943,517.54,-12.44,0,1,1
39944,430.7,-12.38,0,1,1
39945,412.03,-12.38,0,1,1
39946,321.37,-12.43,0,1,1
39947,191.28,-12.3,0,1,1
39939,529.78,-12.54,0,1,1
39948,177.16,-12.16,0,1,1
39950,390.01,-12.19,0,1,1
39951,1111.52,-12.45,0,0,1
39952,683.3,-12.42,0,1,1
39953,1003.9,-12.51,0,0,1
39954,895.71,-12.51,0,1,1
39955,609.34,-12.5,0,1,1
39956,356.66,-12.48,0,1,1
39957,529.2,-12.53,0,1,1
39949,225.93,-12.06,0,1,1
39958,536.74,-12.56,0,1,1
39938,1009.19,-12.55,0,0,1
39933,1636.63,-12.51,0,0,1
39914,951.97,-12.04,0,1,1
39915,1363.07,-12.1,0,0,1
39916,1124.76,-12.11,0,0,1
39921,949.59,-12.09,0,1,1
39922,1210.36,-12.11,0,0,1
39923,1414.96,-12.17,0,0,1
39924,1082.13,-12.17,0,0,1
39927,501.28,-11.77,0,1,1
39937,849.61,-12.57,0,1,1
39928,721.58,-12.07,0,1,1
37304,1065.99,-9.28,0,0,1
37303,1188.74,-9.3,0,0,1
37302,1079.82,-9.41,0,0,1
37301,1020.4,-9.28,0,0,1
39929,677.74,-12.16,0,1,1
39930,992.62,-12.27,0,1,1
39931,1044.76,-12.37,0,0,1
39932,1424.35,-12.45,0,0,1
37305,1326.29,-9.28,0,0,1
39959,723.27,-12.62,0,1,1
39960,1141.62,-12.71,0,0,1
39961,878.3,-12.71,0,1,1
40019,539.69,-13.14,0,1,1
40020,530.49,-13.1,0,1,1
40021,612.31,-13.12,0,1,1
40022,550.15,-13.19,0,1,1
40023,477.68,-13.21,0,1,1
40024,487.9,-13.3,0,1,1
40025,331.03,-13.4,0,1,1
40026,236.39,-13.41,0,1,1
40018,627.07,-13.15,0,1,1
40027,246.12,-13.49,0,1,1
40029,259.71,-13.52,0,1,1
40030,361.45,-13.63,0,1,1
40031,614.35,-13.69,0,1,1
40032,904.45,-13.73,0,1,1
40033,557.29,-13.78,0,1,1
40034,736.7,-13.81,0,1,1
40035,769.78,-13.81,0,1,1
40036,902.24,-13.82,0,1,1
40028,242.44,-13.51,0,1,1
40017,641.72,-13.19,0,1,1
40016,584.13,-13.24,0,1,1
40015,486.34,-13.31,0,1,1
39962,1161.88,-12.8,0,0,1
39963,1090.97,-12.81,0,0,1
39964,1325.72,-12.83,0,0,1
39994,1528.55,-12.87,0,0,1
39995,1309.16,-12.95,0,0,1
40001,923.65,-13.31,0,1,1
40002,1263.52,-13.39,0,0,1
40003,916.65,-13.35,0,1,1
40005,1050.6,-13.42,0,0,1
40006,654.18,-13.44,0,1,1
40007,657.88,-13.47,0,1,1
40008,560.74,-13.51,0,1,1
40009,673.13,-13.51,0,1,1
40010,617.13,-13.54,0,1,1
40011,527.5,-13.55,0,1,1
40012,473.78,-13.45,0,1,1
37216,1308.15,-8.75,0,0,1
40013,584.81,-13.41,0,1,1
40014,535.47,-13.32,0,1,1
39913,1118.22,-12.11,0,0,1
39912,910.49,-12.02,0,1,1
39911,911.35,-12.01,0,1,1
39910,882.32,-11.88,0,1,1
39845,508.72,-10.85,0,1,1
39846,682.87,-10.96,0,1,1
39847,599.38,-10.91,0,1,1
39848,358.53,-10.84,0,1,1
39849,835.73,-11.18,0,1,1
39850,657.71,-11.28,0,1,1
39851,791.52,-11.32,0,1,1
39852,843.92,-11.4,0,1,1
39844,390.18,-10.9,0,1,1
39853,540.42,-11.29,0,1,1
39855,370.37,-10.76,0,1,1
39856,321.03,-10.74,0,1,1
39857,607.74,-10.79,0,1,1
39858,734.2,-10.96,0,1,1
39859,762.14,-11.0,0,1,1
39860,741.03,-11.11,0,1,1
39861,644.17,-11.18,0,1,1
39862,501.89,-11.3,0,1,1
39854,346.75,-10.98,0,1,1
39843,430.24,-11.13,0,1,1
39842,702.1,-11.24,0,1,1
39841,1025.12,-11.22,0,0,1
39817,1254.19,-11.33,0,0,1
39822,1306.26,-10.9,0,0,1
39823,1330.16,-10.87,0,0,1
39824,847.11,-10.9,0,1,1
39825,1087.84,-10.93,0,0,1
39828,1236.03,-11.27,0,0,1
39832,588.4,-10.96,0,1,1
39833,625.56,-10.96,0,1,1
39834,582.65,-11.0,0,1,1
39835,580.2,-10.93,0,1,1
37402,1192.33,-8.82,0,0,1
37401,1146.29,-8.94,0,0,1
37400,1028.25,-8.91,0,0,1
37399,1077.88,-8.87,0,0,1
39836,435.82,-10.93,0,1,1
39837,258.71,-10.7,0,1,1
39838,451.64,-10.63,0,1,1
39839,849.33,-10.96,0,1,1
39840,986.31,-11.24,0,1,1
39863,635.57,-11.37,0,1,1
40037,1145.39,-13.91,0,0,1
39864,671.43,-11.48,0,1,1
39866,391.6,-11.31,0,1,1
39890,303.38,-11.38,0,1,1
39891,393.4,-11.34,0,1,1
39892,364.77,-11.29,0,1,1
39893,274.15,-11.35,0,1,1
39894,211.35,-11.34,0,1,1
39895,359.53,-11.36,0,1,1
39896,553.31,-11.46,0,1,1
39897,864.55,-11.55,0,1,1
39889,571.09,-11.49,0,1,1
39898,1137.14,-11.65,0,0,1
39900,1134.15,-11.86,0,0,1
39901,1041.46,-11.88,0,0,1
39904,581.27,-11.63,0,1,1
39905,720.63,-11.7,0,1,1
39906,808.98,-11.81,0,1,1
39907,562.42,-11.81,0,1,1
39908,674.46,-11.89,0,1,1
39909,662.9,-11.79,0,1,1
39899,1149.3,-11.8,0,0,1
39888,708.99,-11.34,0,1,1
39887,385.98,-11.07,0,1,1
39886,331.95,-11.05,0,1,1
39867,363.32,-11.22,0,1,1
39868,392.85,-11.16,0,1,1
39869,697.49,-11.21,0,1,1
39870,710.07,-11.18,0,1,1
39871,626.01,-11.21,0,1,1
39872,623.57,-11.26,0,1,1
39873,441.74,-11.31,0,1,1
39874,486.07,-11.4,0,1,1
39875,501.04,-11.27,0,1,1
39876,674.05,-11.44,0,1,1
39877,485.96,-11.3,0,1,1
39878,516.58,-11.3,0,1,1
39879,535.81,-11.28,0,1,1
39880,535.3,-11.34,0,1,1
39881,535.18,-11.43,0,1,1
39882,713.88,-11.6,0,1,1
39883,606.38,-11.3,0,1,1
39884,678.17,-11.17,0,1,1
39885,496.88,-11.12,0,1,1
39865,372.71,-11.38,0,1,1
39814,898.84,-11.0,0,1,1
40038,812.25,-13.91,0,1,1
40040,726.46,-13.97,0,1,1
40161,405.22,-15.96,0,1,1
40162,426.3,-15.98,0,1,1
40163,417.44,-16.1,0,1,1
40164,361.1,-16.04,0,1,1
40165,349.21,-16.03,0,1,1
40166,374.03,-16.01,0,1,1
40167,362.59,-16.04,0,1,1
40168,346.39,-16.1,0,1,1
40160,405.12,-15.93,0,1,1
40169,274.59,-16.12,0,1,1
40171,221.03,-16.17,0,1,1
40172,224.87,-16.11,0,1,1
40173,219.1,-16.13,0,1,1
40174,203.53,-16.11,0,1,1
40175,211.92,-16.11,0,1,1
40176,210.71,-16.14,0,1,1
40177,195.91,-16.28,0,1,1
40178,176.21,-16.31,0,1,1
40170,218.04,-16.11,0,1,1
40179,145.12,-16.31,0,1,1
40159,444.16,-15.88,0,1,1
40157,434.39,-15.81,0,1,1
40139,633.98,-15.41,0,1,1
40140,651.45,-15.52,0,1,1
40141,562.44,-15.53,0,1,1
40142,533.48,-15.46,0,1,1
40143,626.18,-15.59,0,1,1
40144,581.11,-15.61,0,1,1
40145,577.86,-15.61,0,1,1
40146,492.96,-15.54,0,1,1
40158,423.07,-15.81,0,1,1
40147,526.93,-15.61,0,1,1
40149,425.57,-15.67,0,1,1
40150,386.42,-15.68,0,1,1
40151,492.44,-15.73,0,1,1
40152,419.31,-15.8,0,1,1
40153,393.19,-15.81,0,1,1
40154,385.45,-15.77,0,1,1
40155,351.03,-15.71,0,1,1
40156,428.48,-15.76,0,1,1
40148,485.9,-15.61,0,1,1
40180,134.52,-16.31,0,1,1
40181,156.43,-16.37,0,1,1
40182,155.08,-16.37,0,1,1
40206,85.91,-16.61,0,1,1
40207,85.19,-16.61,0,1,1
40208,81.1,-16.62,0,1,1
40209,84.06,-16.66,0,1,1
40210,87.76,-16.61,0,1,1
40211,81.61,-16.68,0,1,1
40212,72.79,-16.64,0,1,1
40213,78.88,-16.71,0,1,1
40205,89.06,-16.61,0,1,1
40214,79.05,-16.71,0,1,1
40216,179.78,-16.64,0,1,1
40217,163.22,-16.71,0,1,1
40218,99.08,-16.65,0,1,1
40219,95.5,-16.71,0,1,1
40220,95.78,-16.71,0,1,1
40221,102.89,-16.71,0,1,1
40222,109.67,-16.71,0,1,1
40223,92.71,-16.72,0,1,1
40215,131.86,-16.65,0,1,1
40204,91.57,-16.58,0,1,1
40203,107.16,-16.56,0,1,1
40202,115.58,-16.61,0,1,1
40183,172.44,-16.41,0,1,1
40184,157.64,-16.41,0,1,1
40185,161.98,-16.41,0,1,1
40186,168.81,-16.41,0,1,1
40187,164.9,-16.41,0,1,1
40188,154.44,-16.41,0,1,1
40189,136.66,-16.41,0,1,1
40190,139.93,-16.41,0,1,1
40191,136.73,-16.41,0,1,1
40192,131.99,-16.41,0,1,1
40193,133.1,-16.41,0,1,1
40194,123.25,-16.46,0,1,1
40195,116.4,-16.47,0,1,1
40196,110.0,-16.51,0,1,1
40197,107.17,-16.51,0,1,1
40198,109.88,-16.51,0,1,1
40199,105.06,-16.51,0,1,1
40200,105.49,-16.51,0,1,1
40201,110.06,-16.58,0,1,1
40138,623.22,-15.45,0,1,1
40137,548.9,-15.41,0,1,1
40136,655.38,-15.41,0,1,1
40135,700.39,-15.41,0,1,1
40063,767.74,-14.55,0,1,1
40064,611.67,-14.51,0,1,1
40065,651.28,-14.52,0,1,1
40066,734.6,-14.57,0,1,1
40067,697.66,-14.59,0,1,1
40068,708.76,-14.6,0,1,1
40069,864.64,-14.63,0,1,1
40070,929.52,-14.66,0,1,1
40062,707.92,-14.51,0,1,1
40071,926.9,-14.66,0,1,1
40073,908.97,-14.74,0,1,1
40074,935.72,-14.67,0,1,1
40075,1032.35,-14.59,0,0,1
40076,863.67,-14.51,0,1,1
40077,808.87,-14.46,0,1,1
40078,1049.71,-14.51,0,0,1
40079,938.79,-14.51,0,1,1
40080,982.16,-14.46,0,1,1
40072,1023.25,-14.71,0,0,1
40061,744.33,-14.51,0,1,1
40060,629.39,-14.47,0,1,1
40059,725.97,-14.48,0,1,1
40041,1072.97,-13.99,0,0,1
40042,1035.91,-14.0,0,0,1
40043,907.65,-14.01,0,1,1
40044,947.48,-14.07,0,1,1
40045,987.54,-14.05,0,1,1
40046,550.46,-14.03,0,1,1
40047,355.33,-14.1,0,1,1
40048,344.59,-14.18,0,1,1
40049,456.63,-14.21,0,1,1
40050,662.58,-14.21,0,1,1
40051,577.64,-14.21,0,1,1
40052,465.03,-14.21,0,1,1
40053,502.73,-14.21,0,1,1
40054,804.71,-14.29,0,1,1
40055,725.28,-14.31,0,1,1
40056,959.7,-14.39,0,1,1
37171,1598.55,-7.93,0,0,1
40057,838.47,-14.41,0,1,1
40058,916.5,-14.48,0,1,1
40081,1086.87,-14.48,0,0,1
40039,888.51,-13.99,0,1,1
40082,947.44,-14.41,0,1,1
40084,1114.47,-14.54,0,0,1
40109,936.69,-15.21,0,1,1
40110,868.91,-15.24,0,1,1
40111,830.72,-15.26,0,1,1
40112,878.92,-15.21,0,1,1
40113,858.38,-15.15,0,1,1
40114,911.99,-15.14,0,1,1
40115,1189.99,-15.2,0,0,1
40116,1018.41,-15.02,0,0,1
40108,993.48,-15.27,0,1,1
40117,941.98,-14.98,0,1,1
37107,1870.5,-7.26,0,0,1
37106,1544.47,-7.13,0,0,1
37105,717.07,-7.04,0,1,1
40130,949.49,-15.31,0,1,1
40131,702.44,-15.31,0,1,1
40132,561.14,-15.31,0,1,1
40133,523.4,-15.36,0,1,1
40134,677.46,-15.38,0,1,1
40118,1094.16,-15.02,0,0,1
40107,947.1,-15.21,0,1,1
40106,893.15,-15.26,0,1,1
40105,977.19,-15.31,0,1,1
40085,1085.9,-14.62,0,0,1
40086,889.85,-14.62,0,1,1
40088,1191.3,-14.76,0,0,1
40089,913.07,-14.79,0,1,1
40090,1052.16,-14.88,0,0,1
40091,1035.43,-14.91,0,0,1
40092,875.91,-14.91,0,1,1
40093,974.87,-14.98,0,1,1
40094,992.07,-15.01,0,1,1
40095,1040.02,-15.02,0,0,1
40096,1075.83,-15.08,0,0,1
40097,964.69,-15.11,0,1,1
40098,773.89,-15.11,0,1,1
40099,872.66,-15.12,0,1,1
40100,812.45,-15.17,0,1,1
40101,828.56,-15.21,0,1,1
40102,867.37,-15.19,0,1,1
40103,948.41,-15.21,0,1,1
40104,1004.92,-15.26,0,0,1
40083,1002.93,-14.44,0,0,1
39813,1135.7,-11.04,0,0,1
39812,1145.32,-11.14,0,0,1
39811,1393.53,-11.0,0,0,1
39545,-5.94,-12.26,0,1,1
39546,-5.37,-12.3,0,1,1
39547,-5.37,-12.48,0,1,1
39548,-5.14,-12.13,0,1,1
39549,-6.28,-12.06,0,1,1
39550,-6.0,-12.0,0,1,1
39551,-6.11,-11.57,0,1,1
39552,-6.06,-12.0,0,1,1
39544,-5.52,-11.74,0,1,1
39553,-5.14,-12.28,0,1,1
39555,-9.91,-12.18,0,1,1
39556,-4.65,-12.49,0,1,1
39557,-5.2,-12.37,0,1,1
39558,-5.08,-12.25,0,1,1
39559,-5.6,-11.81,0,1,1
39560,-5.31,-11.78,0,1,1
39561,-4.8,-11.67,0,1,1
39562,-4.57,-11.76,0,1,1
39554,-6.85,-11.97,0,1,1
39563,-5.2,-11.68,0,1,1
39543,-5.63,-11.25,0,1,1
39541,-5.32,-12.26,0,1,1
39523,-5.32,-11.94,0,1,1
39524,-5.54,-11.52,0,1,1
39525,-5.2,-11.22,0,1,1
39526,-5.32,-11.02,0,1,1
39527,-5.49,-11.74,0,1,1
39528,-5.66,-12.03,0,1,1
39529,-5.83,-11.89,0,1,1
39530,-5.89,-11.93,0,1,1
39542,-5.37,-11.77,0,1,1
39531,-6.17,-12.31,0,1,1
39533,-5.72,-12.84,0,1,1
