run_id,MODEL_TYPE,SEQ_LEN,LR,BATCH_SIZE,WEIGHT_DECAY,DROPOUT,CNN_CHANNELS,CNN_KERNEL,LSTM_HID,NUM_TRANS_LAYERS,USE_HET,LOSS_TYPE,USE_ASYM,ASYM_W,OVERSAMPLE_PEAKS,MAE,MSE,RMSE,NRMSE,R2,MAPE(%),sMAPE(%),MASE
0,mlp,1,0.0003,16,0.0,0.05,8,5,64,1,True,mae,True,1.0,True,73.62882918785645,20150.239644228364,141.95153977406642,0.18395100550549803,0.9780175464511193,70.82392521879346,73.63833196034504,1.0847159946795544
6,cnn,8,0.0005,16,0.0,0.05,8,3,128,1,True,mae,True,1.0,True,72.0527837974116,19323.96071992258,139.01064966369512,0.18049338612038318,0.9789225607108577,46.49569788821503,31.951173308677706,1.0614973497246722
8,lstm,2,0.0005,64,0.0,0.05,32,3,64,1,True,smape,True,1.5,True,73.8283060411572,21265.307499509912,145.82629220929232,0.18903075296766497,0.9768005435680455,68.90307728823268,63.061308288281126,1.0876547312550282
82,cnn_lstm,2,0.0003,16,0.0,0.0,16,3,128,1,True,smape,True,1.0,True,67.56281614005346,18363.494725016553,135.5119726260988,0.17566057419111125,0.9799662856593413,34.421158367273,26.829035383265687,0.9953501654321704
51,cnn_mlp,4,0.0002,8,0.0,0.0,16,5,128,1,True,mae,True,1.0,True,82.94815426673878,22846.393312898203,151.15023424691807,0.15943700898538754,0.9694397394973263,35.43732577388545,22.87427216938714,1.265286543106711
98,lstm_mlp,4,0.0005,16,0.0,0.0,8,5,128,1,True,mae,True,1.0,True,81.9648567174958,21191.036998575022,145.5714154584444,0.15355233281708805,0.9716540111111264,52.45517273463456,42.45159764632371,1.2502873768452645
29,lstm_cnn_mlp,4,0.0005,8,0.0,0.0,32,3,64,1,True,smape,True,1.0,True,81.11792396985646,22246.248525139847,149.15176339936397,0.15732897246089228,0.9702425174589078,33.18370754408026,21.081644179993038,1.237368311701772
75,cnn_lstm_mlp,4,0.0002,16,0.0,0.0,32,3,128,1,True,smape,True,1.0,True,88.32181494995466,26163.42723641177,161.7511274656587,0.170619093590089,0.9650027406498298,31.844939714406696,20.67913349150077,1.3472560650303722
5,cnn_lstm_mlp,4,0.0002,16,0.0,0.0,64,3,128,1,True,mae,True,1.0,True,81.84484912994263,21819.057233478048,147.71275244026174,0.15581106807682327,0.9708139458230639,34.134063675955204,22.42515045096737,1.248456787762915
